repo	skill	path	chars	tokens	tokenizer
superpowers-plus	blast-radius-check	skills/engineering/blast-radius-check/skill.md	7600	1846	tiktoken-cl100k_base
superpowers-plus	brainstorming	skills/engineering/brainstorming/skill.md	5815	1319	tiktoken-cl100k_base
superpowers-plus	branch-sync-gate	skills/engineering/branch-sync-gate/skill.md	3864	982	tiktoken-cl100k_base
superpowers-plus	code-review-battery	skills/engineering/code-review-battery/skill.md	16388	3822	tiktoken-cl100k_base
superpowers-plus	cognitive-complexity-refactoring	skills/engineering/cognitive-complexity-refactoring/skill.md	4119	1038	tiktoken-cl100k_base
superpowers-plus	debate	skills/engineering/debate/skill.md	10427	2392	tiktoken-cl100k_base
superpowers-plus	debug-conductor	skills/engineering/debug-conductor/skill.md	8368	1924	tiktoken-cl100k_base
superpowers-plus	evidence-adjudicator	skills/engineering/evidence-adjudicator/skill.md	7515	1846	tiktoken-cl100k_base
superpowers-plus	feature-development	skills/engineering/feature-development/skill.md	8042	1892	tiktoken-cl100k_base
superpowers-plus	field-rename-verification	skills/engineering/field-rename-verification/skill.md	6822	1556	tiktoken-cl100k_base
superpowers-plus	finishing-a-development-branch	skills/engineering/finishing-a-development-branch/skill.md	5466	1327	tiktoken-cl100k_base
superpowers-plus	git-branch-conventions	skills/engineering/git-branch-conventions/skill.md	4363	1134	tiktoken-cl100k_base
superpowers-plus	implementation-tracker	skills/engineering/implementation-tracker/skill.md	3476	792	tiktoken-cl100k_base
superpowers-plus	infra-config-investigator	skills/engineering/infra-config-investigator/skill.md	5602	1244	tiktoken-cl100k_base
superpowers-plus	investigation-state	skills/engineering/investigation-state/skill.md	6592	1554	tiktoken-cl100k_base
superpowers-plus	llm-behavior-investigator	skills/engineering/llm-behavior-investigator/skill.md	6192	1414	tiktoken-cl100k_base
superpowers-plus	micro-harsh-review	skills/engineering/micro-harsh-review/skill.md	3996	1043	tiktoken-cl100k_base
superpowers-plus	output-verification	skills/engineering/output-verification/skill.md	7828	1765	tiktoken-cl100k_base
superpowers-plus	pre-commit-gate	skills/engineering/pre-commit-gate/skill.md	5904	1476	tiktoken-cl100k_base
superpowers-plus	progressive-code-review-gate	skills/engineering/progressive-code-review-gate/skill.md	8895	2196	tiktoken-cl100k_base
superpowers-plus	progressive-harsh-review	skills/engineering/progressive-harsh-review/skill.md	9732	2327	tiktoken-cl100k_base
superpowers-plus	providing-code-review	skills/engineering/providing-code-review/skill.md	8417	1896	tiktoken-cl100k_base
superpowers-plus	receiving-code-review	skills/engineering/receiving-code-review/skill.md	7401	1670	tiktoken-cl100k_base
superpowers-plus	reproduction-experiment-investigator	skills/engineering/reproduction-experiment-investigator/skill.md	5342	1207	tiktoken-cl100k_base
superpowers-plus	requesting-code-review	skills/engineering/requesting-code-review/skill.md	8207	1925	tiktoken-cl100k_base
superpowers-plus	requirements-validation	skills/engineering/requirements-validation/skill.md	6428	1516	tiktoken-cl100k_base
superpowers-plus	sp-bughunt	skills/engineering/sp-bughunt/skill.md	6176	1466	tiktoken-cl100k_base
superpowers-plus	state-consistency-investigator	skills/engineering/state-consistency-investigator/skill.md	5427	1266	tiktoken-cl100k_base
superpowers-plus	subagent-driven-development	skills/engineering/subagent-driven-development/skill.md	5512	1228	tiktoken-cl100k_base
superpowers-plus	systematic-debugging	skills/engineering/systematic-debugging/skill.md	5505	1290	tiktoken-cl100k_base
superpowers-plus	test-driven-development	skills/engineering/test-driven-development/skill.md	4438	1024	tiktoken-cl100k_base
superpowers-plus	timeline-trace-investigator	skills/engineering/timeline-trace-investigator/skill.md	5708	1321	tiktoken-cl100k_base
superpowers-plus	unified-commit-gate	skills/engineering/unified-commit-gate/skill.md	8569	2230	tiktoken-cl100k_base
superpowers-plus	verification-before-completion	skills/engineering/verification-before-completion/skill.md	12658	3033	tiktoken-cl100k_base
superpowers-plus	experimental-self-prompting	skills/experimental/experimental-self-prompting/skill.md	5948	1452	tiktoken-cl100k_base
superpowers-plus	issue-authoring	skills/issue-tracking/issue-authoring/skill.md	6653	1572	tiktoken-cl100k_base
superpowers-plus	issue-comment-debunker	skills/issue-tracking/issue-comment-debunker/skill.md	7541	1723	tiktoken-cl100k_base
superpowers-plus	issue-editing	skills/issue-tracking/issue-editing/skill.md	5897	1354	tiktoken-cl100k_base
superpowers-plus	issue-link-verification	skills/issue-tracking/issue-link-verification/skill.md	5053	1243	tiktoken-cl100k_base
superpowers-plus	issue-verify	skills/issue-tracking/issue-verify/skill.md	5438	1277	tiktoken-cl100k_base
superpowers-plus	completeness-check	skills/observability/completeness-check/skill.md	6129	1399	tiktoken-cl100k_base
superpowers-plus	evolution-loop	skills/observability/evolution-loop/skill.md	3435	820	tiktoken-cl100k_base
superpowers-plus	exhaustive-audit-validation	skills/observability/exhaustive-audit-validation/skill.md	5802	1429	tiktoken-cl100k_base
superpowers-plus	failure-autopsy	skills/observability/failure-autopsy/skill.md	3795	952	tiktoken-cl100k_base
superpowers-plus	holistic-repo-verification	skills/observability/holistic-repo-verification/skill.md	4804	1142	tiktoken-cl100k_base
superpowers-plus	measurement-integrity	skills/observability/measurement-integrity/skill.md	3098	784	tiktoken-cl100k_base
superpowers-plus	skill-health-check	skills/observability/skill-health-check/skill.md	4097	972	tiktoken-cl100k_base
superpowers-plus	superpowers-doctor	skills/observability/superpowers-doctor/skill.md	5114	1301	tiktoken-cl100k_base
superpowers-plus	adversarial-search	skills/productivity/adversarial-search/skill.md	4988	1182	tiktoken-cl100k_base
superpowers-plus	autonomous-chain-controller	skills/productivity/autonomous-chain-controller/skill.md	4176	1032	tiktoken-cl100k_base
superpowers-plus	code-review-respond	skills/productivity/code-review-respond/skill.md	8935	2039	tiktoken-cl100k_base
superpowers-plus	domain-design	skills/productivity/domain-design/skill.md	5264	1297	tiktoken-cl100k_base
superpowers-plus	enforce-style-guide	skills/productivity/enforce-style-guide/skill.md	5691	1484	tiktoken-cl100k_base
superpowers-plus	fallback-planning	skills/productivity/fallback-planning/skill.md	5049	1157	tiktoken-cl100k_base
superpowers-plus	golden-agents	skills/productivity/golden-agents/skill.md	6005	1542	tiktoken-cl100k_base
superpowers-plus	innovation	skills/productivity/innovation/skill.md	7789	1855	tiktoken-cl100k_base
superpowers-plus	inter-agent-review-protocol	skills/productivity/inter-agent-review-protocol/skill.md	7720	1814	tiktoken-cl100k_base
superpowers-plus	plan-and-execute	skills/productivity/plan-and-execute/skill.md	12713	2891	tiktoken-cl100k_base
superpowers-plus	quantitative-decision-gate	skills/productivity/quantitative-decision-gate/skill.md	3931	1064	tiktoken-cl100k_base
superpowers-plus	skill-authoring	skills/productivity/skill-authoring/skill.md	6413	1515	tiktoken-cl100k_base
superpowers-plus	superpowers-help	skills/productivity/superpowers-help/skill.md	6175	1502	tiktoken-cl100k_base
superpowers-plus	think-twice	skills/productivity/think-twice/skill.md	5354	1317	tiktoken-cl100k_base
superpowers-plus	thinking-orchestrator	skills/productivity/thinking-orchestrator/skill.md	10194	2340	tiktoken-cl100k_base
superpowers-plus	todo-archive	skills/productivity/todo-archive/skill.md	6274	1606	tiktoken-cl100k_base
superpowers-plus	todo-guardian	skills/productivity/todo-guardian/skill.md	5298	1279	tiktoken-cl100k_base
superpowers-plus	todo-management	skills/productivity/todo-management/skill.md	12696	3409	tiktoken-cl100k_base
superpowers-plus	update-superpowers	skills/productivity/update-superpowers/skill.md	8550	1997	tiktoken-cl100k_base
superpowers-plus	expert-interviewer	skills/research/expert-interviewer/skill.md	6748	1555	tiktoken-cl100k_base
superpowers-plus	incorporating-research	skills/research/incorporating-research/skill.md	6313	1543	tiktoken-cl100k_base
superpowers-plus	perplexity-research	skills/research/perplexity-research/skill.md	6296	1499	tiktoken-cl100k_base
superpowers-plus	public-repo-ip-audit	skills/security/public-repo-ip-audit/skill.md	5609	1401	tiktoken-cl100k_base
superpowers-plus	repo-security-scan	skills/security/repo-security-scan/skill.md	8298	2273	tiktoken-cl100k_base
superpowers-plus	security-upgrade	skills/security/security-upgrade/skill.md	5842	1419	tiktoken-cl100k_base
superpowers-plus	wiki-instruction-guard	skills/security/wiki-instruction-guard/skill.md	8025	2355	tiktoken-cl100k_base
superpowers-plus	link-verification	skills/wiki/link-verification/skill.md	3898	1110	tiktoken-cl100k_base
superpowers-plus	wiki-content-coherence	skills/wiki/wiki-content-coherence/skill.md	3428	886	tiktoken-cl100k_base
superpowers-plus	wiki-debunker	skills/wiki/wiki-debunker/skill.md	4044	1038	tiktoken-cl100k_base
superpowers-plus	wiki-markdown-structure-gate	skills/wiki/wiki-markdown-structure-gate/skill.md	3243	797	tiktoken-cl100k_base
superpowers-plus	wiki-orchestrator	skills/wiki/wiki-orchestrator/skill.md	4742	1324	tiktoken-cl100k_base
superpowers-plus	wiki-refactor	skills/wiki/wiki-refactor/skill.md	5033	1307	tiktoken-cl100k_base
superpowers-plus	wiki-secret-audit	skills/wiki/wiki-secret-audit/skill.md	3259	972	tiktoken-cl100k_base
superpowers-plus	wiki-verify	skills/wiki/wiki-verify/skill.md	3653	964	tiktoken-cl100k_base
superpowers-plus	detecting-ai-slop	skills/writing/detecting-ai-slop/skill.md	7852	2014	tiktoken-cl100k_base
superpowers-plus	eliminating-ai-slop	skills/writing/eliminating-ai-slop/skill.md	4747	1214	tiktoken-cl100k_base
superpowers-plus	markdown-table-discipline	skills/writing/markdown-table-discipline/skill.md	5905	1441	tiktoken-cl100k_base
superpowers-plus	plan-quality-gates	skills/writing/plan-quality-gates/skill.md	6836	1649	tiktoken-cl100k_base
superpowers-plus	professional-language-audit	skills/writing/professional-language-audit/skill.md	5663	1403	tiktoken-cl100k_base
superpowers-plus	readme-authoring	skills/writing/readme-authoring/skill.md	5376	1374	tiktoken-cl100k_base
superpowers-plus	writing-skills	skills/writing/writing-skills/skill.md	4296	1018	tiktoken-cl100k_base
#TOTAL	superpowers-plus	89 skills	561919	136259	tiktoken-cl100k_base
